尺度（日本語）,尺度（原文）,CISS対応（日本語）,CISS対応（原文）,Holland対応（日本語）,Holland対応（原文）,項目番号,設問（採用した日本語訳）,設問（原文）,因子負荷量（大学生サンプル・左）,因子負荷量（地域サンプル・右）
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,1,重要なことを実現する,Make important things happen,0.54,0.37
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,9,他の人を率いる,Lead other people,0.71,0.43
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,17,営業またはマーケティング部門の責任者になる,Be a sales or marketing director,0.42,0.45
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,25,大企業の最高経営責任者になる,Be the chief executive of a large company,0.63,0.52
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,33,政治キャンペーンを企画・運営する,Organize a political campaign,0.43,0.65
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,41,会議で司会を務める,Be the master of ceremonies at a meeting,0.59,0.37
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,49,広告キャンペーンを企画する,Plan an advertising campaign,0.43,0.54
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,57,公開の会合で議題について討論する,Debate topics in a public meeting,0.55,0.59
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,65,他の人に意見を変えるよう説得する,Persuade others to change their views,0.56,0.46
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,73,州知事または上院議員になる,Be a state governor or senator,0.57,0.73
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,81,公職選挙に立候補する,Run for political office,0.48,0.76
リーダーシップ,Leadership,影響,Influencing,企業的,Enterprising,86,多くの人に影響を与える決定を下す,Make decisions that affect a lot of people,0.72,0.54
組織化,Organization,組織化,Organizing,慣習的,Conventional,2,企業の財務担当役員になる,Be the financial officer for a company,0.56,0.63
組織化,Organization,組織化,Organizing,慣習的,Conventional,10,オフィスの管理責任者になる,Be an office manager,0.61,0.66
組織化,Organization,組織化,Organizing,慣習的,Conventional,18,予算を立てる,Plan budgets,0.67,0.77
